epoch,loss
1,0.0097971211
2,0.0037863468
3,0.0026500300
4,0.0019646923
5,0.0015576507
6,0.0013380465
7,0.0011932686
8,0.0010921586
9,0.0010210760
10,0.0009676154
11,0.0009268089
12,0.0008943801
13,0.0008688488
14,0.0008489482
15,0.0008321038
16,0.0008169655
17,0.0008029797
18,0.0007896662
19,0.0007767044
20,0.0007632902
21,0.0007499928
22,0.0007364729
23,0.0007222173
24,0.0007074796
25,0.0006924986
26,0.0006761882
27,0.0006600287
28,0.0006442824
29,0.0006290375
30,0.0006145900
31,0.0006009394
32,0.0005880930
33,0.0005759276
34,0.0005644334
35,0.0005535633
36,0.0005431272
37,0.0005331614
38,0.0005237086
39,0.0005146685
40,0.0005059984
41,0.0004975865
42,0.0004894133
43,0.0004813418
44,0.0004733742
45,0.0004655403
46,0.0004575263
47,0.0004490527
48,0.0004405791
49,0.0004321148
50,0.0004236826
51,0.0004153014
52,0.0004069518
53,0.0003986007
54,0.0003897228
55,0.0003809050
56,0.0003729771
57,0.0003652938
58,0.0003578426
59,0.0003505482
60,0.0003420920
61,0.0003337428
62,0.0003261741
63,0.0003190875
64,0.0003124293
65,0.0003060088
66,0.0002998591
67,0.0002939622
68,0.0002882726
69,0.0002826712
70,0.0002770973
71,0.0002717152
72,0.0002665167
73,0.0002614661
74,0.0002565555
75,0.0002517781
76,0.0002471363
77,0.0002426131
78,0.0002382068
79,0.0002339104
80,0.0002296866
